Nutrient Type,Nutrient,Unit,Constraint Type,Child_1_3,Female_4_8,Male_4_8,Female_9_13,Male_9_13,Female_14_18,Male_14_18,Female_19_30,Male_19_30,Female_31_50,Male_31_50,Female_51U,Male_51U
Macro,Energy,kcal,RDA,1000,1200,1400,1600,1800,1800,2200,2000,2400,1800,2200,1600,2000
Macro,Protein,g,RDA,13,19,19,34,34,46,52,46,56,46,56,46,56
Macro,Carbohydrate,g,RDA,130,130,130,130,130,130,130,130,130,130,130,130,130
Macro,Dietary Fiber,g,RDA,14,16.8,19.6,22.4,25.2,25.2,30.8,28,33.6,25.2,30.8,22.4,28
Macro,Linoleic Acid,g,AI,7,10,10,10,12,11,16,12,17,12,17,11,14
Macro,Linolenic Acid,g,AI,0.7,0.9,0.9,1,1.2,1.1,1.6,1.1,1.6,1.1,1.6,1.1,1.6
Mineral,Calcium,mg,RDA,700,1000,1000,1300,1300,1300,1300,1000,1000,1000,1000,1200,1200
Mineral,Iron,mg,RDA,7,10,10,8,8,15,11,18,8,18,8,8,8
Mineral,Magnesium,mg,RDA,80,130,130,240,240,360,410,310,400,320,420,320,420
Mineral,Phosphorus,mg,RDA,460,500,500,1250,1250,1250,1250,700,700,700,700,700,700
Mineral,Potassium,mg,AI,3000,3800,3800,4500,4500,4700,4700,4700,4700,4700,4700,4700,4700
Mineral,Sodium,mg,UL,1500,1900,1900,2200,2200,2300,2300,2300,2300,2300,2300,2300,2300
Mineral,Zinc,mg,RDA,3,5,5,8,8,9,11,8,11,8,11,8,11
Mineral,Copper,mg,RDA,0.34,0.44,0.44,0.7,0.7,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9
Mineral,Manganese,mg,AI,1.2,1.5,1.5,1.6,1.9,1.6,2.2,1.8,2.3,1.8,2.3,1.8,2.3
Mineral,Selenium,mcg,RDA,20,30,30,40,40,55,55,55,55,55,55,55,55
Vitamin,Vitamin A,mcg,RDA,300,400,400,600,600,700,900,700,900,700,900,700,900
Vitamin,Vitamin E,mg,RDA,6,7,7,11,11,15,15,15,15,15,15,15,15
Vitamin,Vitamin D,mcg,RDA,15,15,15,15,15,15,15,15,15,15,15,15,15
Vitamin,Vitamin C,mg,RDA,15,25,25,45,45,65,75,75,90,75,90,75,90
Vitamin,Thiamin,mg,RDA,0.5,0.6,0.6,0.9,0.9,1,1.2,1.1,1.2,1.1,1.2,1.1,1.2
Vitamin,Riboflavin,mg,RDA,0.5,0.6,0.6,0.9,0.9,1,1.3,1.1,1.3,1.1,1.3,1.1,1.3
Vitamin,Niacin,mg,RDA,6,8,8,12,12,14,16,14,16,14,16,14,16
Vitamin,Vitamin B6,mg,RDA,0.5,0.6,0.6,1,1,1.2,1.3,1.3,1.3,1.3,1.3,1.5,1.7
Vitamin,Vitamin B12,mcg,RDA,0.9,1.2,1.2,1.8,1.8,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Vitamin,Choline,mg,AI,200,250,250,375,375,400,550,425,550,425,550,425,550
Vitamin,Vitamin K,mcg,AI,30,55,55,60,60,75,75,90,120,90,120,90,120
Vitamin,Folate,mcg,RDA,150,200,200,300,300,400,400,400,400,400,400,400,400
